Judul Pelatihan;Jumlah Hari Pelatihan;Jumlah Jam Pelatihan Per Hari;tanggal awal;tanggal akhir;Biaya Pelatihan  Online; Biaya Pelatihan  Offline ;Online;Offline;Lokasi Pelatihan;"Contac Person
";No Telepon/ HP;Alamat Email ;;
Indentifikasi Bahaya,Penilaian&Pegendalian Resiko;2 Hari;8 Jam;11-Feb-25;12-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Layer Of Protection Analysys;2 Hari;8 Jam;28-Apr-25;29-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Management Pengadaan Barang & Jasa;2 Hari;8 Jam;23-Jan-25;26-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Good Corporate Governance (GCG) Implementation;2 Hari;8 Jam;12-May-25;13-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
File Management & Database System;2 Hari;8 Jam;12-May-25;13-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
IT Risk Management;2 Hari;8 Jam;07-Apr-25;08-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Network & System Administration;2 Hari;8 Jam;16-Jan-25;17-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
RCM Principle & Implementation;2 Hari;8 Jam;16-Apr-25;17-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Balancing Rotating Machinery;2 Hari;8 Jam;18-Feb-25;19-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Partial Discharge;2 Hari;8 Jam;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Management Mutu;2 Hari;8 Jam;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Analisa Beban Kerja;2 Hari;8 Jam;16-Apr-25;17-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Vendor Management;2 Hari;8 Jam;08-Jul-25;09-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Manajemen CSR Dan COMDEV;2 Hari;8 Jam;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Payroll Administration System;2 Hari;8 Jam;13-Aug-25;14-ags-2025; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Laporan Logistic;2 Hari;8 Jam;07-Apr-25;08-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Poka Yoke;2 Hari;8 Jam;28-Apr-25;29-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Management 5S / 5R;2 Hari;8 Jam;10-Feb-25;11-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Penaganan Limbah B3 / Non B3;2 Hari;8 Jam;19-Feb-25;20-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Time Management;2 Hari;8 Jam;07-Mar-25;08-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Pubblic Speaking For Leader;2 Hari;8 Jam;11-Sep-25;12-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Boiler Efficiency Calculation( ASME PTC 4.1);2 Hari;8 Jam;10-Jul-25;11-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Building Leadership;2 Hari;8 Jam;10-Jul-25;11-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Marketing Management;2 Hari;8 Jam;07-Mar-25;08-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Sales Pipeline Management Sys;2 Hari;8 Jam;09-Jan-25;10-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Logistic Management;2 Hari;8 Jam;20-Jan-25;21-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Training Managemen;2 Hari;8 Jam;23-Jan-25;24-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Rekonsiliasi & Ekualisasi Pengisian SPT PPh Badan;2 Hari;8 Jam;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Customer Relationship Management (CRM);2 Hari;8 Jam;30-Jan-25;31-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Filling System And Documentation;2 Hari;8 Jam;04-Feb-25;05-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
KPI For Employee Performance Management;2 Hari;8 Jam;13-Feb-25;14-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Hukum Pertanahan;2 Hari;8 Jam;16-Apr-25;17-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Hukum Ketenagakerjaan & Hubungan Indusrtrial;2 Hari;8 Jam;21-Apr-25;22-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
HR Management Development Program;2 Hari;8 Jam;24-Apr-25;25-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
General Affair Management;;8 Jam;27-May-25;28-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
E-Filling System Soft And Hard Document With Excel & VBA For Management;;8 Jam;15-May-25;16-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Best Practices Implementation Of Payroll Administration System With Using Excel;;8 Jam;20-May-25;21-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Scheduling & Controlling Project Using Primavera (P6);2 Hari;8 Jam;10-Jun-25;11-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Selling Skills With NLP;2 Hari;8 Jam;17-Jun-25;18-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Performance Appraisal & Management;2 Hari;8 Jam;19-Jun-25;20-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Total Cost Reduction (TCR);2 Hari;8 Jam;25-Jun-25;26-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Advanced Leadership Di Era Vuca;2 Hari;8 Jam;06-Oct-25;07-101-2025; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Leadership For Supervisor & Manager;2 Hari;8 Jam;09-Oct-25;10-101-2025; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Corporate Social Responsibility;2 Hari;8 Jam;20-Oct-25;21-Oct-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Procurement Management In Projec;2 Hari;8 Jam;05-Nov-25;06-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
IT Project Management;2 Hari;8 Jam;11-Nov-25;12-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategi Implementasi Project Management Office (PMO);2 Hari;8 Jam;18-Nov-25;19-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Project Management Professional ( Exam Preparation PMP /CPAM );2 Hari;8 Jam;20-Nov-25;21-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Contract Drafting And Contract Management;2 Hari;8 Jam;27-Nov-25;28-Nov-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Performance Appraisal & Management;2 Hari;8 Jam;09-Dec-25;10-Dec-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Business And Plan Budgeting;2 Hari;8 Jam;15-Dec-25;16-Dec-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Basic Risk Management;2 Hari;8 Jam;22-Dec-25;23-Dec-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Personal Development Attitude Excellent For High Performance;2 Hari;8 Jam;03-Dec-25;04-Dec-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Professional Receptionist And Operator;2 Hari;8 Jam;26-Aug-25;27-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Effective Training Management;2 Hari;8 Jam;08-Sep-25;09-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Sales And Marketing;2 Hari;8 Jam;15-Sep-25;16-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Talent Management;2 Hari;8 Jam;25-Sep-25;26-Sep-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
The Filing System ( Kearsipan );2 Hari;8 Jam;21-Aug-25;22-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Tender Management;2 Hari;8 Jam;14-Aug-25;15-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Public Speaking And Presentation Skil;2 Hari;8 Jam;11-Aug-25;12-Aug-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Legal Drafting & Writing;2 Hari;8 Jam;06-Jul-25;07-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Legal Audit And Legal Opinion;2 Hari;8 Jam;24-Jul-25;25-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Corporate Law;2 Hari;8 Jam;22-Jul-25;23-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Teknik Penyusunan Standard Operating Procedure;2 Hari;8 Jam;09-Jul-25;10-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Strategic Supply Chain Management;2 Hari;8 Jam;04-Jul-25;05-Jul-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Finance & Accounting For Non Finance;2 Hari;8 Jam;27-May-25;28-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
IT Project Management;2 Hari;2 Hari;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Retail Management;2 Hari;2 Hari;16-Jun-25;17-Jun-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
