Judul Pelatihan,Topik,Hari Pelatihan,Jam Pelatihan Per Hari,Tanggal Awal,Tanggal Akhir,Biaya Online,Biaya Offline,Online,Offline,Lokasi Pelatihan,Contact Person,No Telepon/HP,Alamat Email
Essential Skill For Secretaris,Managerial & Soft Skill,2 Hari,8 Jam,06-Oct-25,07-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Train & Trainer,Managerial & Soft Skill,2 Hari,8 Jam,12-Nov-25,13-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Writting Policy And Procedure ( SOP ) ,Managerial & Soft Skill,2 Hari,8 Jam,06-Oct-25,07-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategic Planning & Transformational Leadership Skill,Managerial & Soft Skill,2 Hari,8 Jam,25-Nov-25,26-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Communication & Team Work,Managerial & Soft Skill,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Program Masa Persiapan Pensiun (MPP),Managerial & Soft Skill,2 Hari,8 Jam,08-Oct-25,09-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Negotiation Skill For Procrument,Managerial & Soft Skill,2 Hari,8 Jam,19-Nov-25,20-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Leadership & Management Skill For HRM,Managerial & Soft Skill,2 Hari,8 Jam,25-Nov-25,26-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Training Managemen,Managerial & Soft Skill,2 Hari,8 Jam,19-Nov-25,20-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Legal Drafting & Writing,Managerial & Soft Skill,2 Hari,8 Jam,17-Sep-25,18-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Communication Management & Managerial Skill,Managerial & Soft Skill,2 Hari,8 Jam,25-Nov-25,26-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Corporate Social Responsibility,Managerial & Soft Skill,2 Hari,8 Jam,19-Nov-25,20-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective Time Management,Managerial & Soft Skill,2 Hari,8 Jam,19-Nov-25,20-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Mengadapi Masa Pensiun,Managerial & Soft Skill,2 Hari,8 Jam,08-Oct-25,09-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Leadership For Supervisor & Manager,Managerial & Soft Skill,2 Hari,8 Jam,25-Nov-25,26-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Secretarial Skill,Managerial & Soft Skill,2 Hari,8 Jam,14-Oct-25,15-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
AMDAL,Health Safety Environment,2 Hari,8 Jam,08-Oct-25,09-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Accident Investigation,Health Safety Environment,2 Hari,8 Jam,27-Nov-25,28-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Fire-Fighting,Health Safety Environment,2 Hari,8 Jam,08-Oct-25,09-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Kesehatan Lingkugan Kerja,Health Safety Environment,2 Hari,8 Jam,08-Oct-25,09-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Hazardous Chemical Handling,Health Safety Environment,2 Hari,8 Jam,19-Nov-25,20-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Chemical Laboratory Instrumentation: Operation,Quality and Safety ",Health Safety Environment,2 Hari,8 Jam,12-Aug-25,13-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Confined Space Entry,Health Safety Environment,2 Hari,8 Jam,14-Oct-25,15-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Contractor Safety Management,Health Safety Environment,2 Hari,8 Jam,15-Jul-25,16-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Emergenci Responplant,Health Safety Environment,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pengelolaan Limbah Non Bahan Berbahaya dan Beracun (B3),Health Safety Environment,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic HSE For Oil & Gas,Health Safety Environment,2 Hari,8 Jam,11-Sep-24,12-Oct-23,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Environmental Management,Health Safety Environment,2 Hari,8 Jam,26-Jun-25,27-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
H2S and Using breathing apparatus,Health Safety Environment,2 Hari,8 Jam,11-Sep-24,12-Oct-23,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Handling Chemicals-Design for Safe Handling,Health Safety Environment,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Permit to Work (PTW),Health Safety Environment,2 Hari,8 Jam,26-Jun-25,27-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advanced Wastewater Treatmnet Plant,Health Safety Environment,2 Hari,8 Jam,26-Jun-25,27-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Safety and Risk Management in Oil and Gas,Health Safety Environment,2 Hari,8 Jam,26-Jun-25,27-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
General Safety Management,Health Safety Environment,2 Hari,8 Jam,23-Jul-25,24-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Risk Based Process Safety Management,Health Safety Environment,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Risk & Control Self Assessment,Health Safety Environment,2 Hari,8 Jam,06-May-25,07-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Quality Control and Quality Assurance Management,Health Safety Environment,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Emergensy Arrangement,Health Safety Environment,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Safety Engagement,Health Safety Environment,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Safety Sustainnability,Health Safety Environment,2 Hari,8 Jam,17-Feb-25,18-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Role Of Responsibility,Health Safety Environment,2 Hari,8 Jam,24-Feb-25,25-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
CSMS,Health Safety Environment,2 Hari,8 Jam,22-Jan-25,23-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Of Chance,Health Safety Environment,2 Hari,8 Jam,24-Feb-25,25-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Site Sepety Rule,Health Safety Environment,2 Hari,8 Jam,23-Jul-25,24-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Hazop,Health Safety Environment,2 Hari,8 Jam,22-Jun-25,23-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Permit To Work,Health Safety Environment,2 Hari,8 Jam,04-Jun-25,05-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Baricade & Safety Sign,Health Safety Environment,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Incident Report,Health Safety Environment,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Lingkugan,Health Safety Environment,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Indentifikasi Bahaya,Penilaian&Pegendalian Resiko",Health Safety Environment,2 Hari,8 Jam,04-Jun-25,05-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Penaganan Limbah B3 / Non B3,Health Safety Environment,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Esensial,Information & Technology,2 Hari,8 Jam,22-Jun-25,23-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
IT Helpdesk,Information & Technology,2 Hari,10 Jam,25-Jun-25,26-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Internal Auditor IATF,Information & Technology,2 Hari,8 Jam,27-Jan-25,28-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Microsoft Excel For Basic,Information & Technology,2 Hari,8 Jam,15-Apr-25,16-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Microsoft Excel For Advance & Professional,Information & Technology,2 Hari,8 Jam,14-Apr-25,15-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
ISPS CODE,Information & Technology,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
    Project Management with Microsoft Project,Information & Technology,2 Hari,8 Jam,06-Aug-25,07-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
   Customize Budgeting and Data Recording with Microsoft Excel,Information & Technology,2 Hari,8 Jam,09-Jul-25,10-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Visual Communication with InfoGraphic in Microsoft PowerPoint,Information & Technology,2 Hari,8 Jam,17-Jul-25,18-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Amazing Presentation with Microsoft PowerPoint,Information & Technology,2 Hari,8 Jam,09-Jul-25,10-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Data Storytelling with Micosoft Excel and PowerPoint,Information & Technology,2 Hari,8 Jam,23-Jun-25,24-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Data Management with Microsoft Excel,Information & Technology,2 Hari,8 Jam,17-Jun-25,18-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
E-Filing and Data Management System with Microsoft Excel,Information & Technology,2 Hari,8 Jam,10-Jun-25,11-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
VBA Excel with MS Access Databases,Information & Technology,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
ISM CODE,Information & Technology,2 Hari,8 Jam,10-Jul-25,11-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Data Analysis with Power BI,Information & Technology,2 Hari,8 Jam,13-May-25,14-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Dashboard Reporting with PowerPivot in Microsoft Excel,Information & Technology,2 Hari,8 Jam,22-Jan-25,23-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
IT Project Management,Information & Technology,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Material Safety Data Sheet ( MSDS ),Information & Technology,2 Hari,8 Jam,27-Jan-25,28-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Asset Berbasis Teknology,Information & Technology,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Linux Fundamental,Information & Technology,2 Hari,8 Jam,12-Feb-25,13-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Humas & Protokoler,Information & Technology,2 Hari,8 Jam,18-Feb-25,19-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Hukum Pertanahan,Information & Technology,2 Hari,8 Jam,05-Mar-25,06-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Excelence For Security,Information & Technology,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Microsoft Project,Information & Technology,2 Hari,8 Jam,14-Apr-25,15-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Creative Reporting Using Excel,Word & Power Point",Information & Technology,2 Hari,8 Jam,07-Mar-25,08-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Database Administrator,Information & Technology,2 Hari,8 Jam,21-Mar-25,22-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Audit Sistem Informasi Berbasis COBIT,Information & Technology,2 Hari,8 Jam,26-Feb-25,27-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Linux Server Administrator,Information & Technology,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Inteligence For Security,Information & Technology,2 Hari,8 Jam,18-Feb-25,19-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Customer Service Oriantation,Information & Technology,2 Hari,8 Jam,21-Jan-25,22-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Basic Data Analysis with Microsoft Excel,Information & Technology,2 Hari,8 Jam,15-Jan-25,16-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Data Analysis and Dashboard Reporting With Microsoft Excel,Information & Technology,2 Hari,8 Jam,21-Jan-25,22-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
IT Risk Management,Information & Technology,2 Hari,8 Jam,15-Jan-25,16-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
E-Filling System Soft And Hard Document With Excel & VBA For Management,Information & Technology,2 Hari,8 Jam,29-Jan-25,30-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Best Practices Implementation Of Payroll Administration System With Using Excel,Information & Technology,2 Hari,8 Jam,22-Jan-25,23-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Modern Office Management & Filling System,Information & Technology,2 Hari,8 Jam,16-Jan-25,17-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Manajemen CSR Dan COMDEV,Information & Technology,2 Hari,8 Jam,16-Jun-26,17-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
File Management & Database System,Information & Technology,2 Hari,8 Jam,10-Jun-25,11-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Network & System Administration,Information & Technology,2 Hari,8 Jam,26-May-25,27-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Scheduling & Controlling Project Using Primavera (P6),Information & Technology,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Strategi Implementasi Project Management Office (PMO),Information & Technology,2 Hari,8 Jam,14-May-25,15-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Management Professional ( Exam Preparation PMP /CPAM ),Information & Technology,2 Hari,8 Jam,28-Apr-25,29-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Internal Auditing,Information & Technology,2 Hari,8 Jam,24-Apr-25,25-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Filling System And Documentation,Information & Technology,2 Hari,8 Jam,18-Feb-25,19-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
IT Report Management,Information & Technology,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
IT Security Audit,Information & Technology,2 Hari,8 Jam,05-May-25,06-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Report Wraiting,Information & Technology,2 Hari,8 Jam,13-May-25,14-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Effective General Affair,Information & Technology,2 Hari,8 Jam,09-Dec-25,10-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Data Center,Information & Technology,2 Hari,8 Jam,03-Dec-25,04-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Program Autocad 3D,Information & Technology,2 Hari,8 Jam,20-Nov-25,21-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Computer Network,Information & Technology,2 Hari,8 Jam,12-Nov-25,13-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Profesional General Affair,Information & Technology,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Cost Control & Management Project,Accounting,2 Hari,8 Jam,12-May-25,13-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Project Cost Management,Accounting,2 Hari,8 Jam,12-May-25,13-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Finance For Non Finance,Accounting,2 Hari,8 Jam,24-Apr-25,25-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Total Quality Management,Accounting,2 Hari,8 Jam,22-Apr-25,23-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Letter Of Credit,Accounting,2 Hari,8 Jam,16-Apr-25,17-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Fuinance & Accounting Management,Accounting,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
